# Star	ΔFe	σ	ΔNa	σ	ΔSi	σ	ΔCa	σ	Ti_I	s_Ti_I	Ti_II	s_Ti_II	
NGC 6752-mg0	-0.029	0.010	0.387	0.016	0.038	0.015	-0.023	0.033	0.021	0.020	-0.024	0.035
NGC 6752-mg2	-0.011	0.011	-0.014	0.008	0.039	0.010	-0.021	0.049	0.050	0.024	0.036	0.039
NGC 6752-mg3	0.007	0.015	-0.027	0.005	0.007	0.009	-0.003	0.045	0.020	0.017	0.043	0.041
NGC 6752-mg4	0.010	0.014	0.041	0.010	0.030	0.010	0.008	0.038	0.023	0.012	0.043	0.045
NGC 6752-mg5	0.005	0.008	0.052	0.008	0.015	0.008	0.001	0.015	0.006	0.012	0.038	0.035
NGC 6752-mg6	0.032	0.009	-0.123	0.002	0.042	0.009	0.049	0.040	0.052	0.011	0.095	0.065
NGC 6752-mg8	0.007	0.010	0.036	0.015	-0.001	0.017	0.004	0.024	0.008	0.023	0.029	0.019
NGC 6752-mg10	0.007	0.010	0.013	0.004	-0.004	0.007	-0.005	0.017	-0.023	0.010	0.027	0.033
NGC 6752-mg12	0.002	0.010	-0.342	0.004	-0.021	0.007	-0.017	0.016	0.006	0.007	-0.007	0.030
NGC 6752-mg15	-0.001	0.009	0.044	0.009	-0.008	0.010	-0.008	0.011	-0.009	0.007	0.009	0.023
NGC 6752-mg18	-0.002	0.010	-0.094	0.004	-0.006	0.009	-0.016	0.017	-0.018	0.007	0.044	0.033
NGC 6752-mg21	0.018	0.009	0.282	0.009	0.043	0.009	0.032	0.013	-0.012	0.009	0.057	0.031
NGC 6752-mg22	0.014	0.009	0.323	0.008	0.030	0.010	0.017	0.011	-0.012	0.010	0.012	0.031
NGC 6752-mg24	-0.023	0.016	-0.345	0.035	-0.049	0.009	-0.040	0.012	-0.034	0.009	0.047	0.059
NGC 6752-mg25	-0.027	0.010	-0.139	0.025	-0.008	0.010	-0.026	0.023	-0.045	0.009	-0.023	0.039
NGC 6752-0	0.030	0.010	0.335	0.033	0.096	0.019	0.050	0.010	0.023	0.011	0.052	0.012
NGC 6752-1	0.025	0.009	-0.366	0.020	-0.008	0.013	0.031	0.010	0.003	0.011	0.034	0.012
NGC 6752-2	0.020	0.008	0.384	0.015	0.055	0.012	0.038	0.008	-0.001	0.008	0.031	0.014
NGC 6752-3	-0.049	0.012	-0.444	0.016	-0.044	0.007	-0.044	0.009	-0.052	0.013	-0.036	0.017
NGC 6752-4	0.017	0.015	0.352	0.021	0.026	0.021	0.065	0.011	0.007	0.013	0.034	0.017
NGC 6752-6	0.036	0.014	0.262	0.017	0.032	0.008	0.060	0.011	0.027	0.013	0.042	0.014
NGC 6752-8	0.010	0.014	-0.323	0.012	-0.045	0.017	0.027	0.010	0.030	0.012	0.018	0.013
NGC 6752-9	-0.048	0.025	-0.396	0.056	-0.049	0.011	-0.038	0.013	-0.062	0.016	-0.045	0.018
NGC 6752-10	0.013	0.011	0.357	0.020	0.016	0.012	0.039	0.014	0.007	0.019	0.032	0.014
NGC 6752-12	0.000	0.013	-0.065	0.009	-0.012	0.016	0.003	0.010	-0.023	0.013	0.027	0.016
NGC 6752-15	0.033	0.012	-0.355	0.075	-0.002	0.012	0.022	0.011	-0.006	0.015	0.042	0.015
NGC 6752-16	0.021	0.016	0.091	0.014	-0.005	0.018	0.008	0.011	0.001	0.015	0.007	0.016
NGC 6752-19	-0.029	0.012	-0.190	0.008	-0.048	0.010	-0.029	0.008	-0.046	0.011	-0.024	0.012
NGC 6752-20	0.029	0.012	0.454	0.015	0.031	0.015	0.051	0.009	0.020	0.013	0.037	0.012
NGC 6752-21	-0.007	0.013	-0.063	0.003	-0.019	0.018	0.010	0.011	-0.010	0.014	0.011	0.013
NGC 6752-23	0.016	0.012	0.272	0.019	0.032	0.012	0.033	0.009	-0.002	0.013	0.024	0.015
NGC 6752-24	-0.058	0.016	-0.408	0.010	-0.107	0.020	-0.048	0.015	-0.078	0.011	-0.081	0.018
NGC 6752-29	-0.026	0.012	-0.421	0.032	-0.101	0.020	-0.025	0.009	-0.064	0.021	-0.043	0.012
NGC 6752-30	0.025	0.011	-0.161	0.010	-0.007	0.013	0.056	0.012	0.003	0.015	0.051	0.014
